date,timestamp,id,measurement_name,host,interface,description,traffic_out,traffic_in
"Feb 22, 2022 @ 06:16:33.000",1645510593,d5f46571fd43f1c5eb3ffbf02412e8230b674510cbde48237e13c4418305c5a8,traffic_ftth_in,host1,in_ae20,Trafico de los interfaces,,471296000
"Feb 22, 2022 @ 06:16:33.000",1645510593,e77a8ca1ae6bf4561ae2c4fe1bb95eb113cfe058b4d00f62137b8029644dc0a5,traffic_ftth_out,host1,out_ae20,Trafico de los interfaces,4051390000,
"Feb 22, 2022 @ 06:21:33.000",1645510893,112cf270c52350002022e8a5c4f940c88a16f7016e2c65845a7a0d28a05ea598,traffic_ftth_in,host1,in_ae20,Trafico de los interfaces,,526275000
"Feb 22, 2022 @ 06:21:33.000",1645510893,92b549b653a106a485257252c6e4982cb8206ce9dc3d837acea9b7dd863b5b22,traffic_ftth_out,host1,out_ae20,Trafico de los interfaces,4434980000,
"Feb 22, 2022 @ 06:26:33.000",1645511193,81eb26b06aa1d2d47f80a5dcac582b322cb7b8f6b4bb6a7b5f70de78d41b456a,traffic_ftth_in,host1,in_ae20,Trafico de los interfaces,,655803000
"Feb 22, 2022 @ 06:26:33.000",1645511193,687cedf76c1e554e10ab84d362f67742a4f5cabcb111fa84d179483b3a6813d2,traffic_ftth_out,host1,out_ae20,Trafico de los interfaces,4686640000,
"Feb 22, 2022 @ 06:31:33.000",1645511493,ed6068d356c28019e610c14742198239db6c2b74c411a7e9d85d1175e74200b2,traffic_ftth_in,host1,in_ae20,Trafico de los interfaces,,567593000
"Feb 22, 2022 @ 06:31:33.000",1645511493,cf9dc29cf9b2bdc0034a3a3c4fd433b49572f9aa1024d021101568fadb747135,traffic_ftth_out,host1,out_ae20,Trafico de los interfaces,4646820000,
"Feb 22, 2022 @ 06:36:33.000",1645511793,a99bd9cf35f6677f66e165a9e961bbec2458f896077c89a77050adbf54884a44,traffic_ftth_in,host1,in_ae20,Trafico de los interfaces,,565522000
"Feb 22, 2022 @ 06:36:33.000",1645511793,506f1317029003c4ef6476d872084617af127fe7e2149f496ab1c3e22725b84e,traffic_ftth_out,host1,out_ae20,Trafico de los interfaces,4813480000,
"Feb 22, 2022 @ 06:41:33.000",1645512093,82539c55ae664e2abdb0d4cb6a2cfe280d5a9bad7af161ed3f21fa209a87cad1,traffic_ftth_in,host1,in_ae20,Trafico de los interfaces,,623305000
"Feb 22, 2022 @ 06:41:33.000",1645512093,9595a93de045d9dbae44220f0a838b26bdb54a394099332cb8765417381ff862,traffic_ftth_out,host1,out_ae20,Trafico de los interfaces,4929220000,
